SampleID,AccX_ms2,AccY_ms2,AccZ_ms2,GyroX_dps,GyroY_dps,GyroZ_dps,MagX,MagY,MagZ
16910,12.54,-0.49,-3.66,-18.2,35.9,-1.4,680,-315,-908
16911,13.04,-0.05,-3.06,-12.5,35.0,-1.6,660,-315,-906
16912,13.04,-0.26,-2.85,-11.6,26.9,-2.6,677,-292,-911
16913,13.63,0.16,-2.38,-12.9,10.3,7.3,655,-275,-916
16914,14.94,0.51,-1.86,-18.0,-22.9,28.6,657,-280,-926
16915,15.76,0.69,-2.50,-33.1,-55.7,60.2,667,-262,-926
16916,15.76,1.16,-3.50,-55.9,-62.5,99.2,628,-282,-933
16917,15.41,1.44,-3.81,-79.5,-45.1,135.0,608,-267,-971
16918,14.41,1.67,-3.36,-95.4,-25.7,153.7,573,-247,-997
16919,12.74,1.67,-2.28,-100.2,-14.2,156.7,535,-212,-1035
16920,11.04,1.56,-1.38,-96.9,-10.8,155.5,492,-185,-1066
16921,7.80,0.93,-0.57,-78.3,-26.0,152.5,388,-132,-1123
16922,6.82,0.82,-0.43,-65.8,-35.5,151.5,348,-125,-1137
16923,6.56,0.76,-0.40,-53.7,-48.3,149.1,292,-112,-1147
16924,6.58,0.85,-0.55,-44.7,-58.9,145.2,225,-122,-1192
16925,6.93,1.12,-0.96,-40.6,-60.7,139.4,163,-125,-1200
16926,7.40,1.38,-1.33,-40.7,-49.9,130.8,113,-150,-1218
16927,7.59,1.55,-1.55,-45.0,-32.0,118.5,77,-160,-1210
16928,8.10,1.96,-1.24,-47.7,-19.4,105.1,22,-160,-1231
16929,8.51,2.25,-1.03,-46.2,-16.8,91.7,0,-155,-1238
16930,8.90,2.65,-1.09,-40.8,-21.9,79.4,-40,-157,-1248
16931,8.91,2.76,-1.54,-33.8,-27.8,65.2,-60,-175,-1233
16932,9.30,2.99,-1.91,-27.8,-26.3,45.8,-85,-182,-1241
16933,9.62,3.05,-2.23,-22.6,-18.3,23.9,-82,-180,-1241
16934,10.02,3.16,-2.56,-18.0,-8.1,1.8,-97,-187,-1221
16935,9.87,2.93,-3.23,-15.4,6.2,-19.8,-87,-177,-1212
16936,10.00,2.96,-3.90,-10.6,22.9,-37.3,-72,-200,-1210
16937,10.70,3.13,-4.20,1.9,33.2,-53.1,-55,-165,-1210
16938,11.23,3.26,-3.61,20.1,36.9,-74.8,-27,-150,-1200
16939,11.41,3.29,-3.03,39.3,40.8,-100.2,10,-147,-1200
16940,11.55,3.16,-2.93,57.4,39.0,-119.8,52,-122,-1187
16941,11.51,2.62,-3.43,69.6,31.2,-128.6,80,-110,-1155
16942,12.05,2.70,-3.56,79.1,21.0,-125.3,116,-115,-1155
16943,12.48,2.58,-3.94,85.6,8.3,-118.6,161,-125,-1137
